Data Year,Region Name,AMP Resistance Percentage,AUG Resistance Percentage,AXO Resistance Percentage,CHL Resistance Percentage,CIP Resistance Percentage,COT Resistance Percentage,FIS Resistance Percentage,FOX Resistance Percentage,GEN Resistance Percentage,NAL Resistance Percentage,STR Resistance Percentage,TET Resistance Percentage,Total Resistance Percentage
2018,Region 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.14,0.0,6.9,31.04
2018,Region 10,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,18.18,54.54
2018,Region 2,2.27,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,36.36,2.27,4.55,47.72
2018,Region 3,3.23,1.61,1.61,1.61,1.61,0.0,4.84,1.61,1.61,38.71,4.84,9.68,70.96000000000001
2018,Region 4,1.16,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,9.3,1.16,5.81,18.59
2018,Region 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.99,0.0,5.06,24.049999999999997
2018,Region 6,3.45,0.0,0.0,0.0,0.0,3.45,3.45,0.0,0.0,13.79,3.45,6.9,34.49
2018,Region 7,3.7,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,18.52,3.7,3.7,33.32
2018,Region 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.55,0.0,0.0,54.55
2018,Region 9,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,11.11,0.0,3.17,15.87
2019,Region 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.37,0.0,0.0,47.37
2019,Region 10,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,5.56,33.339999999999996
2019,Region 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,2.5,2.5,42.5
2019,Region 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.37,1.96,1.96,35.29
2019,Region 4,6.33,0.0,0.0,0.0,0.0,0.0,5.06,0.0,0.0,22.78,6.33,5.06,45.56
2019,Region 5,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,0.0,7.41,40.739999999999995
2019,Region 6,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,14.809999999999999
2019,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,13.33,26.66
2019,Region 8,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27,0.0,18.18,54.54
2019,Region 9,4.65,0.0,2.33,4.65,0.0,2.33,4.65,0.0,0.0,27.91,2.33,4.65,53.49999999999999
2020,Region 1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,48.0
2020,Region 10,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27,0.0,0.0,36.36
2020,Region 2,10.26,5.13,5.13,5.13,0.0,0.0,5.13,5.13,0.0,51.28,0.0,5.13,92.32
2020,Region 3,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,33.33,0.0,2.78,38.89
2020,Region 4,8.51,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,25.53,0.0,6.38,44.68
2020,Region 5,2.13,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,21.28,0.0,2.13,27.669999999999998
2020,Region 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5.56
2020,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0,6.67,33.34
2020,Region 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67
2020,Region 9,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,20.0,0.0,3.33,26.659999999999997
2021,Region 1,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,42.86
2021,Region 10,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,37.5
2021,Region 2,2.56,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,48.72,0.0,2.56,56.4
2021,Region 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17,0.0,0.0,52.17
2021,Region 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,0.0,0.0,23.53
2021,Region 5,6.56,1.64,0.0,0.0,1.64,0.0,3.28,1.64,0.0,27.87,0.0,4.92,47.550000000000004
2021,Region 6,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,4.55,27.28
2021,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,35.29,0.0,0.0,41.17
2021,Region 8,5.56,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,22.22,0.0,11.11,44.449999999999996
2021,Region 9,0.0,0.0,0.0,9.68,0.0,3.23,3.23,0.0,3.23,25.81,0.0,9.68,54.86
2022,Region 1,4.55,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,52.27,0.0,2.27,61.36000000000001
2022,Region 10,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,40.0,0.0,0.0,50.0
2022,Region 2,2.44,0.0,0.0,0.0,2.44,0.0,2.44,0.0,0.0,58.54,0.0,0.0,65.86
2022,Region 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,3.12,59.37
2022,Region 4,3.88,0.97,0.97,0.0,0.0,0.0,2.91,0.97,0.0,33.98,0.0,0.97,44.65
2022,Region 5,4.17,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,25.0,0.0,1.39,33.339999999999996
2022,Region 6,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.09,0.0,4.35,34.79
2022,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0
2022,Region 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29
2022,Region 9,2.17,0.0,0.0,0.0,0.0,2.17,2.17,0.0,0.0,28.26,0.0,2.17,36.940000000000005
2023,Region 1,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.64,0.0,0.0,66.67
2023,Region 10,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36,0.0,0.0,54.54
2023,Region 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,66.67
2023,Region 3,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.06,0.0,0.0,50.0
2023,Region 4,12.2,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,43.9,0.0,9.76,78.06
2023,Region 5,3.33,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,36.67,0.0,1.67,43.34
2023,Region 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,38.1
2023,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,18.18
2023,Region 8,11.76,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,35.29,0.0,0.0,52.93
2023,Region 9,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.27,0.0,0.0,61.64
